Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],RUL,Source
644.04,1602.29,2388.16,48.14,197,2,NASA
643.24,1599.73,2388.19,48.07,198,1,NASA
643.51,1599.25,2388.19,48.05,199,0,NASA
642.41,1592.81,2388.08,47.61,1,155,NASA
642.6,1590.48,2388.02,47.4,2,154,NASA
642.3,1581.71,2388.07,47.38,3,153,NASA
643.04,1587.25,2388.06,47.36,4,152,NASA
642.47,1584.61,2388.04,47.44,5,151,NASA
642.3,1584.48,2388.02,47.44,6,150,NASA
642.27,1595.67,2388.09,47.45,7,149,NASA
642.45,1579.66,2388.06,47.48,8,148,NASA
642.59,1593.52,2388.04,47.34,9,147,NASA
642.54,1592.24,2388.08,47.52,10,146,NASA
642.57,1586.12,2388.11,47.44,11,145,NASA
642.48,1587.31,2388.04,47.45,12,144,NASA
642.36,1588.83,2388.08,47.44,13,143,NASA
642.37,1583.56,2388.05,47.31,14,142,NASA
642.33,1583.7,2388.03,47.42,15,141,NASA
642.4,1585.16,2388.06,47.5,16,140,NASA
641.78,1591.04,2388.0,47.4,17,139,NASA
642.61,1590.43,2388.1,47.37,18,138,NASA
642.47,1581.23,2388.11,47.42,19,137,NASA
642.66,1592.44,2388.02,47.4,20,136,NASA
642.56,1584.78,2388.02,47.47,21,135,NASA
642.75,1590.65,2388.07,47.53,22,134,NASA
642.3,1590.01,2388.09,47.52,23,133,NASA
642.54,1594.77,2387.97,47.44,24,132,NASA
642.54,1590.71,2388.14,47.24,25,131,NASA
642.61,1587.42,2388.06,47.37,26,130,NASA
642.32,1585.31,2388.07,47.31,27,129,NASA
642.55,1586.9,2388.11,47.34,28,128,NASA
642.5,1583.07,2388.06,47.35,29,127,NASA
642.46,1589.12,2388.05,47.34,30,126,NASA
642.7,1590.1,2388.03,47.47,31,125,NASA
642.55,1589.05,2388.02,47.45,32,124,NASA
642.06,1590.6,2388.07,47.37,33,123,NASA
642.93,1597.39,2388.1,47.25,34,122,NASA
642.31,1591.21,2388.06,47.45,35,121,NASA
642.16,1596.79,2388.1,47.45,36,120,NASA
642.69,1587.68,2388.08,47.28,37,119,NASA
642.55,1587.12,2388.06,47.52,38,118,NASA
642.26,1589.69,2388.02,47.57,39,117,NASA
642.42,1592.01,2388.08,47.53,40,116,NASA
642.21,1583.26,2388.06,47.44,41,115,NASA
642.94,1581.57,2388.04,47.37,42,114,NASA
642.84,1591.34,2388.13,47.38,43,113,NASA
642.81,1583.25,2388.09,47.45,44,112,NASA
642.5,1588.66,2388.05,47.58,45,111,NASA
642.48,1585.98,2388.05,47.32,46,110,NASA
642.32,1590.28,2388.1,47.47,47,109,NASA
643.11,1593.64,2388.06,47.6,48,108,NASA
642.05,1590.33,2388.07,47.54,49,107,NASA
643.12,1588.5,2388.11,47.64,50,106,NASA
642.53,1590.41,2388.03,47.37,51,105,NASA
642.86,1592.59,2388.03,47.59,52,104,NASA
642.56,1584.63,2388.06,47.46,53,103,NASA
642.62,1584.73,2388.06,47.52,54,102,NASA
642.28,1590.34,2388.05,47.45,55,101,NASA
642.91,1595.92,2388.09,47.21,56,100,NASA
642.26,1590.69,2388.03,47.62,57,99,NASA
642.57,1584.91,2388.05,47.45,58,98,NASA
641.89,1595.99,2388.11,47.66,59,97,NASA
642.78,1587.22,2388.07,47.51,60,96,NASA
642.56,1591.03,2388.09,47.39,61,95,NASA
642.26,1588.61,2388.1,47.38,62,94,NASA
642.33,1590.1,2388.08,47.41,63,93,NASA
642.59,1591.45,2388.15,47.55,64,92,NASA
642.7,1590.78,2388.1,47.63,65,91,NASA
642.81,1589.64,2388.07,47.47,66,90,NASA
642.57,1586.59,2388.07,47.43,67,89,NASA
642.73,1593.25,2388.1,47.34,68,88,NASA
642.77,1578.13,2388.08,47.54,69,87,NASA
642.53,1584.62,2388.08,47.44,70,86,NASA
642.7,1593.27,2388.08,47.56,71,85,NASA
642.85,1584.8,2388.07,47.5,72,84,NASA
642.83,1595.96,2388.08,47.52,73,83,NASA
642.43,1589.75,2388.08,47.54,74,82,NASA
642.76,1589.51,2388.04,47.46,75,81,NASA
642.5,1587.74,2388.06,47.56,76,80,NASA
642.87,1588.09,2388.03,47.46,77,79,NASA
642.43,1593.59,2388.1,47.45,78,78,NASA
642.7,1584.93,2388.12,47.42,79,77,NASA
641.84,1587.58,2388.02,47.46,80,76,NASA
643.16,1590.25,2388.09,47.42,81,75,NASA
642.5,1600.91,2388.09,47.48,82,74,NASA
642.24,1591.16,2388.07,47.53,83,73,NASA
643.05,1590.75,2388.11,47.63,84,72,NASA
641.86,1591.36,2388.09,47.63,85,71,NASA
642.87,1593.17,2388.1,47.58,86,70,NASA
642.63,1590.85,2388.1,47.61,87,69,NASA
643.0,1586.24,2388.05,47.51,88,68,NASA
642.6,1595.61,2388.07,47.47,89,67,NASA
642.13,1591.67,2388.08,47.6,90,66,NASA
642.94,1590.89,2388.07,47.54,91,65,NASA
642.48,1585.96,2388.09,47.69,92,64,NASA
642.64,1592.61,2388.12,47.43,93,63,NASA
642.41,1597.87,2388.07,47.54,94,62,NASA
643.26,1595.23,2388.07,47.71,95,61,NASA
642.66,1590.7,2388.06,47.67,96,60,NASA
643.17,1584.43,2388.1,47.53,97,59,NASA
642.59,1586.18,2388.08,47.73,98,58,NASA
642.65,1591.88,2388.1,47.5,99,57,NASA
642.41,1591.27,2388.12,47.5,100,56,NASA
642.97,1590.05,2388.08,47.58,101,55,NASA
643.27,1596.27,2388.11,47.69,102,54,NASA
642.92,1598.29,2388.12,47.62,103,53,NASA
642.8,1590.26,2388.12,47.64,104,52,NASA
642.78,1594.54,2388.12,47.59,105,51,NASA
643.22,1591.24,2388.08,47.73,106,50,NASA
643.06,1592.6,2388.1,47.61,107,49,NASA
642.5,1586.58,2388.1,47.47,108,48,NASA
643.03,1596.46,2388.07,47.65,109,47,NASA
643.17,1597.79,2388.1,47.58,110,46,NASA
643.07,1587.76,2388.1,47.5,111,45,NASA
642.55,1593.06,2388.11,47.82,112,44,NASA
642.01,1590.1,2388.12,47.66,113,43,NASA
642.62,1589.31,2388.16,47.62,114,42,NASA
643.15,1596.43,2388.1,47.74,115,41,NASA
643.03,1595.3,2388.12,47.69,116,40,NASA
643.13,1594.45,2388.09,47.63,117,39,NASA
642.66,1596.54,2388.06,47.82,118,38,NASA
642.63,1601.47,2388.04,47.71,119,37,NASA
643.3,1596.71,2388.08,47.84,120,36,NASA
642.67,1596.07,2388.07,47.73,121,35,NASA
642.78,1594.96,2388.11,47.62,122,34,NASA
643.01,1593.26,2388.11,47.79,123,33,NASA
643.02,1594.17,2388.14,47.74,124,32,NASA
643.3,1594.14,2388.13,47.48,125,31,NASA
643.13,1601.52,2388.05,47.86,126,30,NASA
642.93,1589.48,2388.08,47.95,127,29,NASA
642.99,1597.56,2388.11,47.73,128,28,NASA
642.82,1596.58,2388.11,47.72,129,27,NASA
643.14,1588.93,2388.13,47.76,130,26,NASA
642.63,1596.17,2388.11,47.82,131,25,NASA
643.56,1596.9,2388.11,47.81,132,24,NASA
643.82,1596.44,2388.09,47.74,133,23,NASA
643.55,1594.9,2388.17,47.85,134,22,NASA
642.84,1599.93,2388.08,47.57,135,21,NASA
643.43,1597.34,2388.16,47.82,136,20,NASA
643.42,1587.85,2388.14,47.96,137,19,NASA
643.79,1600.39,2388.12,47.78,138,18,NASA
643.55,1604.41,2388.12,47.95,139,17,NASA
643.03,1590.08,2388.15,47.82,140,16,NASA
643.77,1595.21,2388.2,47.77,141,15,NASA
643.22,1595.77,2388.14,48.09,142,14,NASA
643.27,1602.64,2388.19,47.88,143,13,NASA
643.38,1602.76,2388.17,48.09,144,12,NASA
643.56,1599.55,2388.12,48.07,145,11,NASA
644.0,1605.27,2388.15,48.09,146,10,NASA
643.6,1599.15,2388.16,47.98,147,9,NASA
643.3,1604.17,2388.17,47.86,148,8,NASA
643.4,1598.75,2388.14,47.99,149,7,NASA
643.75,1599.94,2388.17,47.99,150,6,NASA
643.48,1604.42,2388.17,48.11,151,5,NASA
643.64,1600.46,2388.16,48.11,152,4,NASA
643.57,1600.98,2388.17,47.9,153,3,NASA
643.8,1606.27,2388.18,48.15,154,2,NASA
643.5,1607.67,2388.14,48.07,155,1,NASA
643.76,1606.45,2388.17,48.26,156,0,NASA
642.14,1584.11,2387.99,47.14,1,164,NASA
642.41,1583.78,2387.99,47.05,2,163,NASA
642.13,1583.81,2388.01,47.27,3,162,NASA
642.51,1593.03,2387.95,47.07,4,161,NASA
642.39,1577.87,2387.98,47.1,5,160,NASA
642.07,1591.74,2388.01,47.11,6,159,NASA
642.05,1581.85,2387.98,46.94,7,158,NASA
642.21,1589.79,2388.0,47.27,8,157,NASA
642.12,1585.04,2387.99,47.16,9,156,NASA
642.01,1580.24,2387.98,47.1,10,155,NASA
642.31,1587.71,2388.03,47.02,11,154,NASA
642.01,1588.4,2387.98,47.2,12,153,NASA
641.58,1583.34,2388.01,47.08,13,152,NASA
641.9,1585.59,2387.99,47.21,14,151,NASA
641.55,1583.1,2388.05,47.18,15,150,NASA
641.86,1582.29,2388.06,47.28,16,149,NASA
641.88,1581.72,2387.99,47.09,17,148,NASA
642.12,1589.7,2387.98,47.3,18,147,NASA
641.86,1580.18,2387.96,47.29,19,146,NASA
642.38,1588.55,2387.97,47.21,20,145,NASA
641.8,1583.54,2388.08,47.29,21,144,NASA
641.96,1585.14,2387.94,47.22,22,143,NASA
642.24,1592.12,2387.99,47.24,23,142,NASA
641.96,1586.78,2388.01,47.18,24,141,NASA
641.99,1584.17,2388.0,47.24,25,140,NASA
642.27,1583.55,2388.02,47.07,26,139,NASA
641.98,1578.48,2388.04,47.23,27,138,NASA
641.31,1577.83,2387.98,47.13,28,137,NASA
641.91,1581.94,2387.96,47.36,29,136,NASA
641.9,1591.83,2387.97,47.18,30,135,NASA
642.59,1583.14,2387.97,47.15,31,134,NASA
641.96,1577.38,2387.98,47.12,32,133,NASA
642.1,1579.87,2388.04,47.27,33,132,NASA
642.59,1594.85,2388.02,47.14,34,131,NASA
642.13,1590.98,2387.97,47.23,35,130,NASA
641.41,1574.52,2387.99,47.23,36,129,NASA
641.84,1581.94,2388.07,47.13,37,128,NASA
641.66,1583.68,2388.06,47.06,38,127,NASA
642.19,1592.26,2387.98,47.27,39,126,NASA
642.01,1587.66,2388.01,47.11,40,125,NASA
641.76,1575.6,2387.99,47.19,41,124,NASA
642.31,1585.08,2388.02,47.11,42,123,NASA
642.08,1586.32,2387.98,47.12,43,122,NASA
642.23,1586.12,2387.97,47.08,44,121,NASA
641.87,1581.16,2387.96,47.26,45,120,NASA
642.24,1584.24,2388.02,47.12,46,119,NASA
642.29,1583.8,2388.06,47.17,47,118,NASA
642.03,1578.55,2387.97,47.1,48,117,NASA
642.05,1584.38,2388.01,47.23,49,116,NASA
641.93,1589.99,2388.03,47.2,50,115,NASA
641.82,1583.92,2388.01,47.04,51,114,NASA
642.55,1581.69,2387.99,47.38,52,113,NASA
641.96,1583.64,2388.01,47.21,53,112,NASA
642.64,1579.5,2388.05,47.38,54,111,NASA
642.11,1582.46,2388.02,47.33,55,110,NASA
641.57,1583.61,2387.97,47.23,56,109,NASA
642.0,1584.72,2388.0,47.28,57,108,NASA
642.06,1585.85,2388.03,47.25,58,107,NASA
642.1,1582.48,2387.96,47.11,59,106,NASA
642.12,1583.95,2388.03,47.18,60,105,NASA
642.55,1584.91,2388.02,47.21,61,104,NASA
642.22,1586.18,2388.02,47.34,62,103,NASA
642.52,1583.53,2388.04,47.26,63,102,NASA
642.13,1586.43,2387.99,47.37,64,101,NASA
642.18,1581.73,2388.01,47.18,65,100,NASA
641.88,1589.67,2388.01,47.28,66,99,NASA
642.3,1582.51,2388.02,47.33,67,98,NASA
642.04,1584.96,2388.06,47.15,68,97,NASA
642.33,1580.4,2388.02,47.25,69,96,NASA
641.85,1588.49,2388.01,47.28,70,95,NASA
641.88,1584.83,2387.98,47.13,71,94,NASA
641.94,1590.87,2387.98,47.19,72,93,NASA
641.84,1583.63,2388.01,47.2,73,92,NASA
642.26,1589.71,2388.02,47.19,74,91,NASA
642.2,1589.25,2387.99,47.21,75,90,NASA
642.63,1581.34,2388.05,47.24,76,89,NASA
642.11,1583.91,2388.01,47.32,77,88,NASA
642.21,1582.49,2387.99,47.2,78,87,NASA
642.32,1581.55,2388.05,47.17,79,86,NASA
641.87,1582.14,2388.0,47.37,80,85,NASA
641.88,1586.36,2388.02,47.16,81,84,NASA
642.51,1588.64,2387.97,47.11,82,83,NASA
642.18,1593.18,2388.04,47.1,83,82,NASA
642.23,1584.76,2388.03,47.08,84,81,NASA
642.87,1586.61,2388.07,47.14,85,80,NASA
641.92,1595.05,2388.07,47.3,86,79,NASA
641.96,1592.49,2388.02,47.38,87,78,NASA
641.79,1588.65,2388.06,47.39,88,77,NASA
641.96,1583.78,2388.04,47.23,89,76,NASA
642.51,1588.33,2388.0,47.42,90,75,NASA
641.95,1586.5,2388.06,47.34,91,74,NASA
642.28,1585.44,2388.01,47.37,92,73,NASA
642.72,1591.59,2388.01,47.33,93,72,NASA
642.38,1582.06,2388.05,47.36,94,71,NASA
642.55,1589.01,2388.06,47.35,95,70,NASA
642.31,1591.21,2388.03,47.29,96,69,NASA
641.99,1581.89,2388.0,47.24,97,68,NASA
641.91,1592.21,2388.01,47.46,98,67,NASA
642.69,1583.56,2388.09,47.29,99,66,NASA
642.29,1591.93,2388.06,47.33,100,65,NASA
642.43,1588.34,2388.06,47.39,101,64,NASA
642.36,1583.1,2388.05,47.43,102,63,NASA
643.22,1589.06,2388.11,47.5,103,62,NASA
642.88,1589.67,2388.06,47.46,104,61,NASA
642.21,1585.77,2388.03,47.5,105,60,NASA
642.6,1589.88,2388.03,47.41,106,59,NASA
642.82,1585.25,2388.08,47.46,107,58,NASA
642.31,1591.53,2388.07,47.44,108,57,NASA
642.86,1588.87,2388.07,47.33,109,56,NASA
642.8,1590.35,2388.1,47.36,110,55,NASA
642.46,1587.64,2388.04,47.41,111,54,NASA
642.66,1595.05,2388.07,47.44,112,53,NASA
642.1,1588.6,2388.06,47.6,113,52,NASA
642.63,1586.07,2388.08,47.37,114,51,NASA
642.63,1588.97,2388.1,47.45,115,50,NASA
641.99,1588.81,2388.07,47.55,116,49,NASA
642.39,1596.89,2388.07,47.42,117,48,NASA
642.59,1594.32,2388.11,47.4,118,47,NASA
642.64,1594.68,2388.11,47.55,119,46,NASA
642.55,1586.39,2388.09,47.34,120,45,NASA
642.95,1585.59,2388.12,47.45,121,44,NASA
642.46,1593.16,2388.16,47.43,122,43,NASA
642.88,1590.42,2388.08,47.48,123,42,NASA
642.81,1587.52,2388.08,47.52,124,41,NASA
642.69,1591.68,2388.07,47.58,125,40,NASA
642.9,1590.26,2388.06,47.38,126,39,NASA
642.57,1590.9,2388.06,47.43,127,38,NASA
642.68,1589.29,2388.12,47.49,128,37,NASA
642.66,1593.27,2388.08,47.58,129,36,NASA
643.02,1588.34,2388.12,47.49,130,35,NASA
643.32,1596.01,2388.13,47.58,131,34,NASA
642.9,1588.76,2388.05,47.77,132,33,NASA
642.7,1597.02,2388.13,47.6,133,32,NASA
642.67,1588.91,2388.1,47.54,134,31,NASA
642.98,1598.46,2388.14,47.57,135,30,NASA
643.3,1590.51,2388.12,47.74,136,29,NASA
642.03,1592.11,2388.15,47.71,137,28,NASA
643.28,1594.24,2388.12,47.81,138,27,NASA
643.5,1591.72,2388.13,47.71,139,26,NASA
642.84,1592.1,2388.1,47.63,140,25,NASA
643.12,1590.49,2388.14,47.77,141,24,NASA
643.88,1600.09,2388.12,47.81,142,23,NASA
643.12,1591.03,2388.13,47.59,143,22,NASA
642.7,1587.86,2388.1,47.7,144,21,NASA
643.19,1592.22,2388.15,47.9,145,20,NASA
642.81,1591.98,2388.18,47.97,146,19,NASA
643.3,1593.76,2388.15,47.68,147,18,NASA
643.41,1594.69,2388.16,48.0,148,17,NASA
643.34,1598.63,2388.2,47.49,149,16,NASA
643.49,1601.63,2388.2,47.91,150,15,NASA
643.38,1597.84,2388.18,48.04,151,14,NASA
643.6,1592.42,2388.19,47.96,152,13,NASA
643.05,1595.44,2388.17,47.89,153,12,NASA
643.79,1591.72,2388.17,47.93,154,11,NASA
642.86,1588.91,2388.17,48.11,155,10,NASA
643.25,1595.61,2388.14,47.96,156,9,NASA
643.59,1595.93,2388.16,48.11,157,8,NASA
642.95,1605.08,2388.23,48.03,158,7,NASA
643.4,1595.53,2388.2,48.0,159,6,NASA
643.32,1601.84,2388.15,48.1,160,5,NASA
643.6,1594.0,2388.18,48.15,161,4,NASA
643.83,1604.96,2388.27,48.14,162,3,NASA
643.73,1601.34,2388.17,48.28,163,2,NASA
643.71,1594.05,2388.28,48.13,164,1,NASA
644.01,1600.61,2388.19,48.04,165,0,NASA
642.85,1590.52,2388.04,47.4,1,162,NASA
642.27,1592.43,2388.03,47.27,2,161,NASA
642.67,1587.06,2388.11,47.56,3,160,NASA
642.7,1590.5,2388.05,47.35,4,159,NASA
642.76,1588.83,2388.08,47.4,5,158,NASA
642.29,1587.25,2388.08,47.31,6,157,NASA
641.61,1591.95,2388.05,47.31,7,156,NASA
642.45,1581.85,2388.01,47.4,8,155,NASA
641.88,1586.87,2388.02,47.36,9,154,NASA
642.61,1588.05,2388.06,47.43,10,153,NASA
642.64,1585.48,2388.07,47.38,11,152,NASA
642.33,1591.01,2388.11,47.27,12,151,NASA
642.25,1596.28,2388.09,47.39,13,150,NASA
642.3,1593.51,2388.06,47.37,14,149,NASA
642.42,1587.53,2388.07,47.49,15,148,NASA
642.31,1585.86,2388.06,47.26,16,147,NASA
642.3,1584.21,2388.02,47.42,17,146,NASA
642.08,1582.08,2388.09,47.44,18,145,NASA
642.27,1585.7,2388.04,47.41,19,144,NASA
642.98,1591.52,2388.06,47.37,20,143,NASA
642.35,1585.9,2388.09,47.47,21,142,NASA
642.36,1581.65,2388.05,47.44,22,141,NASA
642.08,1587.41,2388.07,47.42,23,140,NASA
642.36,1588.52,2388.1,47.44,24,139,NASA
642.7,1582.0,2388.07,47.5,25,138,NASA
642.85,1583.93,2388.04,47.34,26,137,NASA
642.14,1581.13,2388.04,47.34,27,136,NASA
642.51,1584.15,2388.07,47.35,28,135,NASA
642.71,1585.42,2388.12,47.54,29,134,NASA
642.24,1587.79,2387.98,47.46,30,133,NASA
642.45,1594.38,2388.04,47.36,31,132,NASA
642.92,1590.24,2388.07,47.44,32,131,NASA
642.29,1587.38,2388.08,47.38,33,130,NASA
642.04,1584.55,2388.01,47.41,34,129,NASA
642.21,1584.01,2388.09,47.39,35,128,NASA
642.21,1593.72,2388.09,47.41,36,127,NASA
642.64,1586.85,2388.04,47.45,37,126,NASA
642.33,1593.62,2388.06,47.52,38,125,NASA
642.17,1589.75,2388.07,47.63,39,124,NASA
641.87,1592.14,2388.06,47.34,40,123,NASA
642.75,1588.17,2388.08,47.28,41,122,NASA
642.54,1594.11,2388.03,47.59,42,121,NASA
642.84,1579.13,2388.07,47.38,43,120,NASA
642.41,1590.75,2388.05,47.55,44,119,NASA
642.65,1589.98,2388.07,47.65,45,118,NASA
642.54,1592.27,2388.05,47.26,46,117,NASA
642.31,1592.54,2388.09,47.52,47,116,NASA
642.8,1590.68,2388.07,47.42,48,115,NASA
642.42,1589.29,2388.03,47.4,49,114,NASA
642.5,1593.66,2388.0,47.23,50,113,NASA
642.32,1587.23,2388.05,47.35,51,112,NASA
642.25,1585.94,2388.12,47.39,52,111,NASA
642.69,1593.0,2388.06,47.52,53,110,NASA
642.55,1588.93,2388.05,47.36,54,109,NASA
642.29,1589.22,2388.09,47.41,55,108,NASA
642.46,1587.34,2388.11,47.46,56,107,NASA
642.43,1590.67,2388.03,47.16,57,106,NASA
642.56,1586.28,2388.08,47.34,58,105,NASA
642.73,1588.07,2388.03,47.57,59,104,NASA
642.91,1596.48,2388.1,47.42,60,103,NASA
642.76,1587.13,2388.04,47.37,61,102,NASA
642.98,1591.11,2388.13,47.27,62,101,NASA
642.42,1595.21,2388.07,47.66,63,100,NASA
642.72,1588.87,2388.08,47.44,64,99,NASA
642.75,1589.52,2388.06,47.25,65,98,NASA
642.08,1587.83,2388.06,47.49,66,97,NASA
642.69,1591.11,2388.12,47.54,67,96,NASA
642.51,1589.72,2388.1,47.61,68,95,NASA
642.66,1588.63,2388.05,47.59,69,94,NASA
642.13,1590.42,2388.11,47.53,70,93,NASA
642.57,1592.09,2388.11,47.49,71,92,NASA
642.21,1598.89,2388.04,47.45,72,91,NASA
642.81,1584.99,2388.11,47.46,73,90,NASA
642.51,1582.53,2388.04,47.54,74,89,NASA
642.85,1586.65,2388.11,47.48,75,88,NASA
642.22,1589.11,2388.1,47.59,76,87,NASA
642.64,1584.1,2388.08,47.4,77,86,NASA
642.49,1592.98,2388.14,47.47,78,85,NASA
642.5,1591.54,2388.04,47.62,79,84,NASA
642.06,1585.09,2388.13,47.42,80,83,NASA
642.41,1585.61,2388.11,47.55,81,82,NASA
643.11,1596.59,2388.1,47.53,82,81,NASA
642.96,1588.97,2388.13,47.64,83,80,NASA
643.15,1590.61,2388.01,47.54,84,79,NASA
642.76,1583.97,2388.14,47.62,85,78,NASA
642.59,1592.08,2388.11,47.61,86,77,NASA
642.83,1588.33,2388.04,47.36,87,76,NASA
642.52,1594.56,2388.11,47.54,88,75,NASA
642.26,1585.46,2388.09,47.61,89,74,NASA
642.25,1589.78,2388.08,47.66,90,73,NASA
642.19,1590.99,2388.12,47.61,91,72,NASA
642.5,1591.97,2388.08,47.41,92,71,NASA
643.14,1595.01,2388.14,47.42,93,70,NASA
642.58,1592.45,2388.1,47.47,94,69,NASA
641.89,1591.75,2388.07,47.66,95,68,NASA
642.65,1592.12,2388.12,47.46,96,67,NASA
642.54,1593.44,2388.14,47.46,97,66,NASA
642.8,1598.0,2388.12,47.66,98,65,NASA
642.46,1590.4,2388.15,47.52,99,64,NASA
642.77,1587.67,2388.12,47.45,100,63,NASA
642.85,1597.05,2388.13,47.49,101,62,NASA
642.83,1603.18,2388.1,47.52,102,61,NASA
642.32,1593.7,2388.06,47.48,103,60,NASA
642.96,1587.18,2388.17,47.54,104,59,NASA
643.01,1594.01,2388.07,47.54,105,58,NASA
643.29,1589.44,2388.09,47.69,106,57,NASA
642.47,1594.61,2388.1,47.45,107,56,NASA
643.03,1589.46,2388.16,47.85,108,55,NASA
642.74,1592.08,2388.13,47.56,109,54,NASA
642.29,1591.64,2388.15,47.5,110,53,NASA
643.04,1591.07,2388.1,47.67,111,52,NASA
642.58,1593.26,2388.13,47.54,112,51,NASA
643.39,1598.56,2388.16,47.34,113,50,NASA
643.28,1587.42,2388.17,47.55,114,49,NASA
643.18,1595.31,2388.16,47.43,115,48,NASA
642.77,1597.18,2388.11,47.62,116,47,NASA
642.42,1589.55,2388.2,47.67,117,46,NASA
643.19,1591.57,2388.11,47.69,118,45,NASA
643.27,1593.88,2388.16,47.64,119,44,NASA
643.29,1589.25,2388.16,47.74,120,43,NASA
642.75,1598.28,2388.12,47.6,121,42,NASA
642.58,1587.41,2388.14,47.68,122,41,NASA
642.68,1600.99,2388.18,47.63,123,40,NASA
643.01,1590.26,2388.17,47.74,124,39,NASA
643.31,1594.45,2388.26,47.61,125,38,NASA
643.29,1595.55,2388.17,47.64,126,37,NASA
643.03,1585.74,2388.19,47.63,127,36,NASA
643.21,1591.02,2388.15,47.73,128,35,NASA
643.41,1593.99,2388.12,47.68,129,34,NASA
643.07,1591.85,2388.15,47.68,130,33,NASA
643.1,1599.41,2388.17,47.91,131,32,NASA
643.55,1596.41,2388.17,47.64,132,31,NASA
643.78,1591.12,2388.19,47.86,133,30,NASA
643.14,1594.34,2388.19,47.8,134,29,NASA
643.61,1593.7,2388.21,47.94,135,28,NASA
643.09,1593.44,2388.15,47.98,136,27,NASA
642.9,1598.8,2388.18,47.75,137,26,NASA
643.35,1595.62,2388.19,47.85,138,25,NASA
643.06,1594.37,2388.21,47.76,139,24,NASA
642.77,1593.08,2388.17,47.99,140,23,NASA
643.15,1597.9,2388.2,47.95,141,22,NASA
643.64,1597.65,2388.2,47.96,142,21,NASA
643.12,1595.92,2388.16,47.88,143,20,NASA
643.21,1597.41,2388.26,48.09,144,19,NASA
643.06,1595.74,2388.23,48.02,145,18,NASA
643.02,1596.75,2388.25,47.91,146,17,NASA
643.19,1603.73,2388.24,48.0,147,16,NASA
643.39,1602.68,2388.24,47.99,148,15,NASA
643.24,1592.79,2388.22,48.08,149,14,NASA
643.04,1603.57,2388.31,48.09,150,13,NASA
643.53,1596.63,2388.24,48.05,151,12,NASA
643.44,1594.06,2388.26,47.87,152,11,NASA
643.39,1601.06,2388.29,48.12,153,10,NASA
643.41,1606.05,2388.25,48.14,154,9,NASA
643.86,1599.92,2388.22,48.12,155,8,NASA
643.58,1595.46,2388.29,48.06,156,7,NASA
643.02,1594.91,2388.22,48.19,157,6,NASA
643.36,1595.08,2388.29,48.16,158,5,NASA
643.91,1597.89,2388.27,48.23,159,4,NASA
643.89,1593.49,2388.28,48.22,160,3,NASA
643.29,1601.97,2388.28,48.12,161,2,NASA
644.1,1606.95,2388.26,48.23,162,1,NASA
643.98,1598.93,2388.23,48.17,163,0,NASA
642.18,1587.39,2387.99,47.07,1,193,NASA
641.81,1588.45,2388.03,47.2,2,192,NASA
641.73,1584.32,2388.03,47.24,3,191,NASA
641.45,1580.54,2388.01,47.14,4,190,NASA
642.15,1578.08,2388.0,47.05,5,189,NASA
642.23,1582.68,2387.91,47.01,6,188,NASA
642.11,1581.87,2388.05,47.1,7,187,NASA
641.83,1579.69,2387.98,47.16,8,186,NASA
642.04,1590.93,2388.03,47.21,9,185,NASA
641.92,1583.96,2387.97,47.36,10,184,NASA
642.64,1578.62,2387.98,47.19,11,183,NASA
642.29,1593.34,2387.99,47.16,12,182,NASA
641.46,1584.87,2387.99,47.15,13,181,NASA
641.72,1583.39,2387.98,47.18,14,180,NASA
642.49,1579.51,2387.99,47.17,15,179,NASA
642.28,1590.12,2388.0,47.2,16,178,NASA
642.26,1586.5,2388.0,46.86,17,177,NASA
642.09,1576.63,2388.01,47.04,18,176,NASA
641.6,1588.2,2387.94,47.05,19,175,NASA
641.87,1585.62,2387.99,47.08,20,174,NASA
641.86,1577.56,2388.0,47.28,21,173,NASA
641.63,1579.66,2388.01,47.26,22,172,NASA
641.56,1583.55,2388.03,47.23,23,171,NASA
641.84,1583.23,2387.95,47.18,24,170,NASA
641.97,1590.33,2388.03,47.14,25,169,NASA
642.51,1580.48,2388.0,47.2,26,168,NASA
641.54,1583.17,2387.97,47.12,27,167,NASA
641.92,1580.23,2388.05,47.06,28,166,NASA
642.57,1579.13,2388.04,47.26,29,165,NASA
641.85,1581.0,2387.97,47.22,30,164,NASA
641.93,1579.16,2387.98,47.28,31,163,NASA
642.16,1579.16,2388.01,47.25,32,162,NASA
642.33,1581.25,2388.03,47.18,33,161,NASA
642.06,1583.92,2387.98,47.52,34,160,NASA
642.34,1585.19,2387.93,47.16,35,159,NASA
642.18,1588.19,2387.96,47.19,36,158,NASA
642.22,1583.19,2387.99,47.31,37,157,NASA
642.08,1592.07,2387.99,47.38,38,156,NASA
641.79,1573.85,2387.99,47.29,39,155,NASA
642.49,1576.62,2387.98,47.24,40,154,NASA
642.33,1582.23,2388.0,47.19,41,153,NASA
642.01,1584.09,2388.01,47.17,42,152,NASA
642.54,1585.86,2388.02,47.15,43,151,NASA
642.25,1582.48,2388.01,47.27,44,150,NASA
642.63,1582.57,2388.01,47.11,45,149,NASA
641.6,1579.91,2387.99,47.06,46,148,NASA
641.65,1584.22,2387.96,47.14,47,147,NASA
642.12,1584.85,2388.03,47.27,48,146,NASA
641.77,1583.5,2387.98,47.34,49,145,NASA
